Cycle=1_Fc=1_X	Cycle=1_Fc=1_Y	Cycle=1_Fc=2_X	Cycle=1_Fc=2_Y
575	21535.6	575	21232.3
576	21535.6	576	21232.3
577	21535.6	577	21232.3
578	21535.6	578	21232.4
579	21535.6	579	21232.4
580	21535.6	580	21232.4
581	21535.5	581	21232.4
582	21535.5	582	21232.4
583	21535.5	583	21232.4
584	21535.5	584	21232.4
585	21535.5	585	21232.4
586	21535.5	586	21232.4
587	21535.5	587	21232.4
588	21535.5	588	21232.5
589	21535.5	589	21232.5
590	21535.5	590	21232.5
591	21535.5	591	21232.5
592	21535.5	592	21232.6
593	21535.5	593	21232.6
594	21535.5	594	21232.6
595	21535.5	595	21232.6
596	21535.5	596	21232.7
597	21535.6	597	21232.7
598	21535.6	598	21232.7
599	21535.6	599	21232.7
600	21535.6	600	21232.7
601	21535.5	601	21232.7
602	21535.5	602	21232.8
603	21535.5	603	21232.8
604	21535.5	604	21232.8
605	21535.6	605	21232.8
606	21535.6	606	21232.8
607	21535.6	607	21232.9
608	21535.6	608	21232.9
609	21535.6	609	21232.9
610	21535.6	610	21232.9
611	21535.6	611	21232.9
612	21535.6	612	21232.9
613	21535.5	613	21232.9
614	21535.5	614	21232.9
615	21535.5	615	21233
616	21535.5	616	21233
617	21535.5	617	21233
618	21535.5	618	21233
619	21535.6	619	21233
620	21535.5	620	21233
621	21535.5	621	21233.1
622	21535.5	622	21233.1
623	21535.5	623	21233.1
624	21535.5	624	21233.1
625	21535.5	625	21233.1
626	21535.5	626	21233.1
627	21535.5	627	21233.1
628	21535.5	628	21233.1
629	21535.5	629	21233.1
630	21535.5	630	21233.1
631	21535.5	631	21233.2
632	21535.5	632	21233.2
633	21535.5	633	21233.2
634	21535.5	634	21233.2
635	21535.5	635	21233.2
636	21535.5	636	21233.2
637	21535.5	637	21233.3
638	21535.5	638	21233.3
639	21535.5	639	21233.3
640	21535.5	640	21233.3
641	21535.5	641	21233.3
642	21535.4	642	21233.3
643	21535.4	643	21233.3
644	21535.4	644	21233.3
645	21535.5	645	21233.3
646	21535.5	646	21233.3
647	21535.5	647	21233.4
648	21535.5	648	21233.4
649	21535.5	649	21233.5
650	21535.5	650	21233.5
651	21535.5	651	21233.5
652	21535.5	652	21233.5
653	21535.5	653	21233.5
654	21535.5	654	21233.6
655	21535.6	655	21233.6
656	21535.6	656	21233.6
657	21535.6	657	21233.6
658	21535.6	658	21233.6
659	21535.6	659	21233.6
660	21535.6	660	21233.6
661	21535.6	661	21233.6
662	21535.5	662	21233.6
663	21535.5	663	21233.7
664	21535.5	664	21233.7
665	21535.5	665	21233.7
666	21535.5	666	21233.7
667	21535.5	667	21233.7
668	21535.5	668	21233.7
669	21535.5	669	21233.7
670	21535.5	670	21233.7
