Fc4_KU7+PEG_H4 [0.078]_X	Fc4_KU7+PEG_H4 [0.078]_Y	Fc4_KU7+PEG_H4 [0.156]_X	Fc4_KU7+PEG_H4 [0.156]_Y	Fc4_KU7+PEG_H4 [0.313]_X	Fc4_KU7+PEG_H4 [0.313]_Y	Fc4_KU7+PEG_H4 [0.625]_X	Fc4_KU7+PEG_H4 [0.625]_Y	Fc4_KU7+PEG_H4 [1.25]_X	Fc4_KU7+PEG_H4 [1.25]_Y	Fc4_KU7+PEG_H4 [2.5]_X	Fc4_KU7+PEG_H4 [2.5]_Y	Fc4_KU7+PEG_H4 [5]_X	Fc4_KU7+PEG_H4 [5]_Y	Fit on Fc4_KU7+PEG_H4 [0.078]_X	Fit on Fc4_KU7+PEG_H4 [0.078]_Y	Fit on Fc4_KU7+PEG_H4 [0.156]_X	Fit on Fc4_KU7+PEG_H4 [0.156]_Y	Fit on Fc4_KU7+PEG_H4 [0.313]_X	Fit on Fc4_KU7+PEG_H4 [0.313]_Y	Fit on Fc4_KU7+PEG_H4 [0.625]_X	Fit on Fc4_KU7+PEG_H4 [0.625]_Y	Fit on Fc4_KU7+PEG_H4 [1.25]_X	Fit on Fc4_KU7+PEG_H4 [1.25]_Y	Fit on Fc4_KU7+PEG_H4 [2.5]_X	Fit on Fc4_KU7+PEG_H4 [2.5]_Y	Fit on Fc4_KU7+PEG_H4 [5]_X	Fit on Fc4_KU7+PEG_H4 [5]_Y
-66.3	-0.34375	-66.3	-0.560547	-66.3	-0.669922	-66.3	-0.677734	-66.3	-0.791016	-66.3	-0.841797	-66.3	-1.0332	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0	-25.492	0
-66.2	-0.353516	-66.2	-0.570313	-66.2	-0.679688	-66.2	-0.6875	-66.2	-0.810547	-66.2	-0.851563	-66.2	-1.04297	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0	-23.9346	0
-66.1	-0.353516	-66.1	-0.560547	-66.1	-0.667969	-66.1	-0.677734	-66.1	-0.810547	-66.1	-0.841797	-66.1	-1.04297	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0	-22.3771	0
-66	-0.34375	-66	-0.560547	-66	-0.667969	-66	-0.677734	-66	-0.810547	-66	-0.841797	-66	-1.04297	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0	-20.8197	0
-65.9	-0.34375	-65.9	-0.550781	-65.9	-0.667969	-65.9	-0.677734	-65.9	-0.800781	-65.9	-0.841797	-65.9	-1.04297	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0	-19.2623	0
-65.8	-0.332031	-65.8	-0.550781	-65.8	-0.658203	-65.8	-0.677734	-65.8	-0.810547	-65.8	-0.841797	-65.8	-1.0332	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0	-17.7048	0
-65.7	-0.332031	-65.7	-0.550781	-65.7	-0.658203	-65.7	-0.677734	-65.7	-0.800781	-65.7	-0.841797	-65.7	-1.0332	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0	-16.1474	0
-65.6	-0.332031	-65.6	-0.550781	-65.6	-0.658203	-65.6	-0.677734	-65.6	-0.800781	-65.6	-0.841797	-65.6	-1.0332	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0	-14.59	0
-65.5	-0.322266	-65.5	-0.53125	-65.5	-0.638672	-65.5	-0.667969	-65.5	-0.791016	-65.5	-0.822266	-65.5	-1.02344	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0	-13.0326	0
-65.4	-0.322266	-65.4	-0.53125	-65.4	-0.638672	-65.4	-0.667969	-65.4	-0.791016	-65.4	-0.822266	-65.4	-1.02344	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0	-11.4751	0
